ia1,ia2,winner,moves
ia_garnier.pl,ia_kusiak.pl,ia_garnier.pl,7
ia_garnier.pl,ia_manchot.pl,ia_garnier.pl,7
ia_garnier.pl,ia_random.pl,ia_garnier.pl,13
ia_garnier.pl,ia_reydet.pl,ia_garnier.pl,7
ia_kusiak.pl,ia_garnier.pl,ia_garnier.pl,14
ia_kusiak.pl,ia_manchot.pl,ia_kusiak.pl,19
ia_kusiak.pl,ia_random.pl,ia_kusiak.pl,7
ia_kusiak.pl,ia_reydet.pl,ia_kusiak.pl,19
ia_manchot.pl,ia_garnier.pl,ia_garnier.pl,14
ia_manchot.pl,ia_kusiak.pl,ia_manchot.pl,19
ia_manchot.pl,ia_random.pl,ia_random.pl,22
ia_manchot.pl,ia_reydet.pl,ia_manchot.pl,19
ia_random.pl,ia_garnier.pl,ia_garnier.pl,10
ia_random.pl,ia_kusiak.pl,ia_kusiak.pl,16
ia_random.pl,ia_manchot.pl,ia_random.pl,11
ia_random.pl,ia_reydet.pl,ia_reydet.pl,8
ia_reydet.pl,ia_garnier.pl,ia_garnier.pl,14
ia_reydet.pl,ia_kusiak.pl,ia_reydet.pl,19
ia_reydet.pl,ia_manchot.pl,ia_reydet.pl,19
ia_reydet.pl,ia_random.pl,ia_reydet.pl,7
